"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","12-18","00:20:03.095","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=8334 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E0","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"2","12-18","00:20:05.231","8342","8342","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E14",">>>>>> START <*> uid <*> <<<<<<"
"3","12-18","00:20:05.236","8342","8342","I","AndroidRuntime","Using default boot image","E151","<*> <*> boot image"
"4","12-18","00:20:05.236","8342","8342","I","AndroidRuntime","Leaving lock profiling enabled","E171","Leaving lock profiling <*>"
"5","12-18","00:20:05.239","8342","8342","I","app_process","Core platform API reporting enabled, enforcing=false","E271","Core platform API reporting enabled, enforcing= false"
"6","12-18","00:20:05.334","8342","8342","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E274","Time zone APEX ICU file found: <*>"
"7","12-18","00:20:05.334","8342","8342","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E19","<*> APEX ICU file found: <*>"
"8","12-18","00:20:05.359","8342","8342","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E152","<*> <*> entry <*>"
"9","12-18","00:20:05.360","8342","8342","W","Monkey  ","args: [-p, com.android.dialer, --throttle, 100, --pct-touch, 50, --pct-motion, 15, --pct-trackball, 0, --pct-nav, 15, --pct-majornav, 5, --pct-syskeys, 10, --pct-appswitch, 5, --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, 3500]","E415","args: [-p, <*> --throttle, <*> --pct-touch, <*> --pct-motion, <*> --pct-trackball, <*> --pct-nav, <*> --pct-majornav, <*> --pct-syskeys, <*> --pct-appswitch, <*> --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, <*>"
"10","12-18","00:20:05.361","8342","8342","W","Monkey  ","arg: ""-p""","E421","arg: <*>"
"11","12-18","00:20:05.361","8342","8342","W","Monkey  ","arg: ""com.android.dialer""","E421","arg: <*>"
"12","12-18","00:20:05.361","8342","8342","W","Monkey  ","arg: ""--throttle""","E421","arg: <*>"
"13","12-18","00:20:05.361","8342","8342","W","Monkey  ","arg: ""100""","E421","arg: <*>"
"14","12-18","00:20:05.361","8342","8342","W","Monkey  ","arg: ""--pct-touch""","E421","arg: <*>"
"15","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""50""","E421","arg: <*>"
"16","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""--pct-motion""","E421","arg: <*>"
"17","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""15""","E421","arg: <*>"
"18","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""--pct-trackball""","E421","arg: <*>"
"19","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""0""","E421","arg: <*>"
"20","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""--pct-nav""","E421","arg: <*>"
"21","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""15""","E421","arg: <*>"
"22","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""--pct-majornav""","E421","arg: <*>"
"23","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""5""","E421","arg: <*>"
"24","12-18","00:20:05.362","8342","8342","W","Monkey  ","arg: ""--pct-syskeys""","E421","arg: <*>"
"25","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""10""","E421","arg: <*>"
"26","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""--pct-appswitch""","E421","arg: <*>"
"27","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""5""","E421","arg: <*>"
"28","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""--ignore-crashes""","E421","arg: <*>"
"29","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""--ignore-timeouts""","E421","arg: <*>"
"30","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""--ignore-security-exceptions""","E421","arg: <*>"
"31","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""-v""","E421","arg: <*>"
"32","12-18","00:20:05.363","8342","8342","W","Monkey  ","arg: ""3500""","E421","arg: <*>"
"33","12-18","00:20:05.363","8342","8342","W","Monkey  ","data=""com.android.dialer""","E422","data= <*>"
"34","12-18","00:20:05.364","8342","8342","W","Monkey  ","arg=""--throttle"" mCurArgData=""null"" mNextArg=3 argwas=""--throttle"" nextarg=""100""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"35","12-18","00:20:05.364","8342","8342","W","Monkey  ","data=""100""","E422","data= <*>"
"36","12-18","00:20:05.364","8342","8342","W","Monkey  ","arg=""--pct-touch"" mCurArgData=""null"" mNextArg=5 argwas=""--pct-touch"" nextarg=""50""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"37","12-18","00:20:05.364","8342","8342","W","Monkey  ","data=""50""","E422","data= <*>"
"38","12-18","00:20:05.364","8342","8342","W","Monkey  ","arg=""--pct-motion"" mCurArgData=""null"" mNextArg=7 argwas=""--pct-motion"" nextarg=""15""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"39","12-18","00:20:05.364","8342","8342","W","Monkey  ","data=""15""","E422","data= <*>"
"40","12-18","00:20:05.364","8342","8342","W","Monkey  ","arg=""--pct-trackball"" mCurArgData=""null"" mNextArg=9 argwas=""--pct-trackball"" nextarg=""0""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"41","12-18","00:20:05.364","8342","8342","W","Monkey  ","data=""0""","E422","data= <*>"
"42","12-18","00:20:05.364","8342","8342","W","Monkey  ","arg=""--pct-nav"" mCurArgData=""null"" mNextArg=11 argwas=""--pct-nav"" nextarg=""15""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"43","12-18","00:20:05.365","8342","8342","W","Monkey  ","data=""15""","E422","data= <*>"
"44","12-18","00:20:05.365","8342","8342","W","Monkey  ","arg=""--pct-majornav"" mCurArgData=""null"" mNextArg=13 argwas=""--pct-majornav"" nextarg=""5""","E462","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"45","12-18","00:20:05.365","8342","8342","W","Monkey  ","data=""5""","E422","data= <*>"
